permno,caldt,ticker,prc,ret,me,analysts
10026,2020-01-31,JJSF,165.84,-0.100016,3137.52696,3.0
10026,2020-02-28,JJSF,160.82001,-0.03027,3042.55376919,2.0
10026,2020-03-31,JJSF,121.0,-0.244031,2285.448,2.0
10026,2020-04-30,JJSF,127.03,0.049835,2399.3426400000003,2.0
10026,2020-05-29,JJSF,128.63,0.012595,2429.56344,2.0
10026,2020-06-30,JJSF,127.13,-0.007191,2401.23144,2.0
10026,2020-07-31,JJSF,123.13,-0.031464,2326.54135,3.0
10026,2020-08-31,JJSF,135.95,0.104118,2568.77525,3.0
10026,2020-09-30,JJSF,130.39,-0.036668,2466.3268499999995,3.0
10026,2020-10-30,JJSF,135.57001,0.039727,2564.30673915,2.0
10026,2020-11-30,JJSF,145.39,0.072435,2755.7220599999996,2.0
10026,2020-12-31,JJSF,155.37,0.072598,2945.19372,2.0
10028,2020-01-31,ELA,2.17,0.607407,58.425079999999994,0.0
10028,2020-02-28,ELA,2.66,0.225806,71.61784000000002,0.0
10028,2020-03-31,ELA,2.52,-0.052632,67.84848,0.0
10028,2020-04-30,ELA,3.65,0.448413,98.2726,0.0
10028,2020-05-29,ELA,3.59,-0.016438,96.65715999999999,0.0
10028,2020-06-30,ELA,6.1,0.699164,164.2364,1.0
10028,2020-07-31,ELA,4.23,-0.306557,113.88852000000001,1.0
10028,2020-08-31,ELA,3.88,-0.082742,104.46512,1.0
10028,2020-09-30,ELA,4.29,0.10567,115.50396,1.0
10028,2020-10-30,ELA,4.04,-0.058275,108.77296000000001,0.0
10028,2020-11-30,ELA,4.62,0.143564,124.3935,0.0
10028,2020-12-31,ELA,5.2,0.125541,140.01,1.0
10032,2020-01-31,PLXS,71.12,-0.075643,2078.2686400000002,5.0
10032,2020-02-28,PLXS,66.35,-0.06707,1947.7042499999998,5.0
10032,2020-03-31,PLXS,54.56,-0.177694,1601.6088,6.0
10032,2020-04-30,PLXS,62.69,0.14901,1829.67034,5.0
10032,2020-05-29,PLXS,64.22,0.024406,1874.32492,6.0
10032,2020-06-30,PLXS,70.56,0.098723,2059.36416,6.0
10032,2020-07-31,PLXS,74.29,0.052863,2170.30806,6.0
10032,2020-08-31,PLXS,76.07,0.02396,2224.74322,6.0
10032,2020-09-30,PLXS,70.63,-0.071513,2065.64498,6.0
10032,2020-10-30,PLXS,69.54,-0.015432,2016.79908,7.0
10032,2020-11-30,PLXS,74.71,0.074346,2153.3663299999994,7.0
10032,2020-12-31,PLXS,78.21,0.046848,2249.7888599999997,7.0
10044,2020-01-31,RMCF,8.32,-0.098592,49.92,0.0
10044,2020-02-28,RMCF,7.66,-0.064904,46.4579,0.0
10044,2020-03-31,RMCF,4.8,-0.373368,29.112,0.0
10044,2020-04-30,RMCF,4.55,-0.052083,27.59575,0.0
10044,2020-05-29,RMCF,4.29,-0.057143,26.00169,0.0
10044,2020-06-30,RMCF,4.25,-0.009324,25.77625,0.0
10044,2020-07-31,RMCF,3.32,-0.218824,20.17232,0.0
10044,2020-08-31,RMCF,3.26,-0.018072,19.778419999999997,0.0
10044,2020-09-30,RMCF,2.68,-0.177914,16.25956,0.0
10044,2020-10-30,RMCF,2.68,0.0,16.27028,0.0
10044,2020-11-30,RMCF,4.27,0.593284,25.92317,0.0
10044,2020-12-31,RMCF,4.05,-0.051522,24.58755,0.0
10051,2020-01-31,HNGR,24.43,-0.115176,912.16734,2.0
10051,2020-02-28,HNGR,23.07,-0.055669,861.38766,2.0
10051,2020-03-31,HNGR,15.58,-0.324664,583.1438199999999,2.0
10051,2020-04-30,HNGR,18.36,0.178434,693.6775200000001,2.0
10051,2020-05-29,HNGR,18.36,0.0,693.87948,2.0
10051,2020-06-30,HNGR,16.56,-0.098039,625.85208,2.0
10051,2020-07-31,HNGR,17.46,0.054348,659.86578,2.0
10051,2020-08-31,HNGR,19.76,0.13173,752.87576,2.0
10051,2020-09-30,HNGR,15.82,-0.199393,602.75782,2.0
10051,2020-10-30,HNGR,17.47,0.104298,665.62447,2.0
10051,2020-11-30,HNGR,22.69,0.298798,864.69321,2.0
10051,2020-12-31,HNGR,21.99,-0.030851,838.0169099999999,2.0
10104,2020-01-31,ORCL,52.45,-0.005474,168241.19005,32.0
10104,2020-02-28,ORCL,49.46,-0.057007,158650.31954,32.0
10104,2020-03-31,ORCL,48.33,-0.022847,152412.71472,29.0
10104,2020-04-30,ORCL,52.97,0.100972,167045.34448,29.0
10104,2020-05-29,ORCL,53.77,0.015103,169568.21168,29.0
10104,2020-06-30,ORCL,55.27,0.027897,169606.05414000002,30.0
10104,2020-07-31,ORCL,55.45,0.007599,170158.4169,30.0
10104,2020-08-31,ORCL,57.22,0.031921,175589.98403999998,30.0
10104,2020-09-30,ORCL,59.7,0.043341,179750.0136,29.0
10104,2020-10-30,ORCL,56.11,-0.056114,168940.92568000001,29.0
10104,2020-11-30,ORCL,57.72,0.028694,173788.45536,28.0
10104,2020-12-31,ORCL,64.69,0.120755,190449.55946,27.0
10107,2020-01-31,MSFT,170.23,0.079455,1294777.38081,34.0
10107,2020-02-28,MSFT,162.00999,-0.045292,1232255.59840953,32.0
10107,2020-03-31,MSFT,157.71001,-0.026541,1197018.9759000002,32.0
10107,2020-04-30,MSFT,179.21001,0.136326,1359028.3582344,32.0
10107,2020-05-29,MSFT,183.25,0.025389,1389665.38,30.0
10107,2020-06-30,MSFT,203.50999,0.110559,1540774.13429,33.0
10107,2020-07-31,MSFT,205.00999,0.007371,1551444.46585347,32.0
10107,2020-08-31,MSFT,225.53,0.10258,1706732.78109,32.0
10107,2020-09-30,MSFT,210.33,-0.067397,1590936.12,32.0
10107,2020-10-30,MSFT,202.47,-0.03737,1530773.62512,32.0
10107,2020-11-30,MSFT,214.07001,0.060058,1618475.45432496,32.0
10107,2020-12-31,MSFT,222.42,0.039006,1678381.32,33.0
10138,2020-01-31,TROW,133.53,0.095946,31408.12542,13.0
10138,2020-02-28,TROW,118.01,-0.116229,27855.19841,13.0
10138,2020-03-31,TROW,97.65,-0.164901,22262.73525,12.0
10138,2020-04-30,TROW,115.63,0.184127,26311.490869999998,13.0
10138,2020-05-29,TROW,120.9,0.045576,27510.6741,12.0
10138,2020-06-30,TROW,123.5,0.02895,28033.265,13.0
10138,2020-07-31,TROW,138.10001,0.118219,31346.76886986,12.0
10138,2020-08-31,TROW,139.21001,0.008038,31598.72332986,12.0
10138,2020-09-30,TROW,128.22,-0.07248,29025.8025,12.0
10138,2020-10-30,TROW,126.66,-0.012167,28680.00378,12.0
10138,2020-11-30,TROW,143.41,0.132244,32472.75653,13.0
10138,2020-12-31,TROW,151.39,0.06192,34511.621349999994,13.0
10145,2020-01-31,HON,173.22,-0.021356,123771.40626,26.0
10145,2020-02-28,HON,162.17,-0.058596,115562.34199999999,20.0
10145,2020-03-31,HON,133.78999,-0.175002,94627.92065712999,23.0
10145,2020-04-30,HON,141.89999,0.060617,100364.01822713,23.0
10145,2020-05-29,HON,145.85001,0.034179,102364.53781848,24.0
10145,2020-06-30,HON,144.59,-0.008639,101480.20232000001,26.0
10145,2020-07-31,HON,149.37,0.033059,104825.32671000001,26.0
10145,2020-08-31,HON,165.55,0.114347,116180.17565,25.0
10145,2020-09-30,HON,164.61,-0.005678,115520.49963,25.0
